cnty,name,price,state
garland-county-ar,Garland County,170365,AR
grant-county-ar,Grant County,164404,AR
greene-county-ar,Greene County,118586,AR
hempstead-county-ar,Hempstead County,70081,AR
hot-spring-county-ar,Hot Spring County,101289,AR
howard-county-ar,Howard County,83049,AR
independence-county-ar,Independence County,103598,AR
izard-county-ar,Izard County,88135,AR
jackson-county-ar,Jackson County,58928,AR
jefferson-county-ar,Jefferson County,61126,AR
johnson-county-ar,Johnson County,108316,AR
lafayette-county-ar,Lafayette County,45934,AR
lawrence-county-ar,Lawrence County,69091,AR
lee-county-ar,Lee County,44645,AR
lincoln-county-ar,Lincoln County,76393,AR
little-river-county-ar,Little River County,86635,AR
logan-county-ar,Logan County,87450,AR
lonoke-county-ar,Lonoke County,148795,AR
madison-county-ar,Madison County,119310,AR
marion-county-ar,Marion County,129079,AR
miller-county-ar,Miller County,107992,AR
mississippi-county-ar,Mississippi County,56600,AR
monroe-county-ar,Monroe County,56580,AR
montgomery-county-ar,Montgomery County,105880,AR
nevada-county-ar,Nevada County,47372,AR
newton-county-ar,Newton County,125786,AR
ouachita-county-ar,Ouachita County,53444,AR
perry-county-ar,Perry County,93054,AR
phillips-county-ar,Phillips County,29314,AR
pike-county-ar,Pike County,92300,AR
poinsett-county-ar,Poinsett County,67508,AR
polk-county-ar,Polk County,100102,AR
pope-county-ar,Pope County,133175,AR
prairie-county-ar,Prairie County,77724,AR
pulaski-county-ar,Pulaski County,147426,AR
randolph-county-ar,Randolph County,90110,AR
st.-francis-county-ar,St. Francis County,50526,AR
saline-county-ar,Saline County,231129,AR
scott-county-ar,Scott County,84159,AR
searcy-county-ar,Searcy County,87162,AR
sebastian-county-ar,Sebastian County,129327,AR
sevier-county-ar,Sevier County,101715,AR
sharp-county-ar,Sharp County,80755,AR
stone-county-ar,Stone County,115707,AR
union-county-ar,Union County,82491,AR
van-buren-county-ar,Van Buren County,96769,AR
washington-county-ar,Washington County,216579,AR
white-county-ar,White County,128683,AR
woodruff-county-ar,Woodruff County,43672,AR
yell-county-ar,Yell County,89015,AR
apache-county-az,Apache County,198308,AZ
cochise-county-az,Cochise County,179082,AZ
coconino-county-az,Coconino County,420727,AZ
gila-county-az,Gila County,268770,AZ
