cnty,state,name,age
hempstead-county-ar,AR,Hempstead County,76.72
hot-spring-county-ar,AR,Hot Spring County,73.41428571428571
howard-county-ar,AR,Howard County,74.53333333333333
independence-county-ar,AR,Independence County,76.55714285714285
izard-county-ar,AR,Izard County,78.44999999999999
jackson-county-ar,AR,Jackson County,74.42
jefferson-county-ar,AR,Jefferson County,73.21739130434784
johnson-county-ar,AR,Johnson County,77.31666666666666
lafayette-county-ar,AR,Lafayette County,73.55
lawrence-county-ar,AR,Lawrence County,76.95
lee-county-ar,AR,Lee County,73.475
lincoln-county-ar,AR,Lincoln County,76.025
little-river-county-ar,AR,Little River County,75.6
logan-county-ar,AR,Logan County,75.88333333333333
lonoke-county-ar,AR,Lonoke County,74.99999999999999
madison-county-ar,AR,Madison County,75.5
marion-county-ar,AR,Marion County,75.475
miller-county-ar,AR,Miller County,73.22727272727273
mississippi-county-ar,AR,Mississippi County,74.35833333333333
monroe-county-ar,AR,Monroe County,76.3
montgomery-county-ar,AR,Montgomery County,77.0
nevada-county-ar,AR,Nevada County,74.33333333333333
newton-county-ar,AR,Newton County,82.19999999999999
ouachita-county-ar,AR,Ouachita County,75.45
perry-county-ar,AR,Perry County,75.83333333333333
phillips-county-ar,AR,Phillips County,72.38333333333333
pike-county-ar,AR,Pike County,74.8
poinsett-county-ar,AR,Poinsett County,72.45714285714287
polk-county-ar,AR,Polk County,75.8
pope-county-ar,AR,Pope County,76.46363636363637
prairie-county-ar,AR,Prairie County,78.16666666666667
pulaski-county-ar,AR,Pulaski County,75.63522727272728
randolph-county-ar,AR,Randolph County,75.25
saline-county-ar,AR,Saline County,76.67999999999998
scott-county-ar,AR,Scott County,75.80000000000001
searcy-county-ar,AR,Searcy County,75.60000000000001
sebastian-county-ar,AR,Sebastian County,75.7
sevier-county-ar,AR,Sevier County,75.275
sharp-county-ar,AR,Sharp County,74.9
st.-francis-county-ar,AR,St. Francis County,75.21666666666667
stone-county-ar,AR,Stone County,73.56666666666668
union-county-ar,AR,Union County,74.11
van-buren-county-ar,AR,Van Buren County,77.06
washington-county-ar,AR,Washington County,77.92000000000002
white-county-ar,AR,White County,75.60000000000001
woodruff-county-ar,AR,Woodruff County,78.6
yell-county-ar,AR,Yell County,75.88
apache-county-az,AZ,Apache County,75.74374999999999
cochise-county-az,AZ,Cochise County,78.1642857142857
coconino-county-az,AZ,Coconino County,78.92399999999999
gila-county-az,AZ,Gila County,78.5076923076923
graham-county-az,AZ,Graham County,78.25555555555556
greenlee-county-az,AZ,Greenlee County,82.69999999999999
la-paz-county-az,AZ,La Paz County,76.72857142857143
maricopa-county-az,AZ,Maricopa County,78.58918205804753
mohave-county-az,AZ,Mohave County,75.09729729729727
navajo-county-az,AZ,Navajo County,76.65862068965515
pima-county-az,AZ,Pima County,78.30590909090911
pinal-county-az,AZ,Pinal County,78.60322580645162
santa-cruz-county-az,AZ,Santa Cruz County,81.5
yavapai-county-az,AZ,Yavapai County,78.81578947368422
yuma-county-az,AZ,Yuma County,78.11521739130436
alameda-county-ca,CA,Alameda County,80.84585798816569
alpine-county-ca,CA,Alpine County,80.4
amador-county-ca,CA,Amador County,79.19999999999999
butte-county-ca,CA,Butte County,77.70204081632654
calaveras-county-ca,CA,Calaveras County,80.83333333333333
colusa-county-ca,CA,Colusa County,80.22
contra-costa-county-ca,CA,Contra Costa County,80.81333333333333
del-norte-county-ca,CA,Del Norte County,76.48571428571428
el-dorado-county-ca,CA,El Dorado County,80.75945945945946
fresno-county-ca,CA,Fresno County,78.38848167539267
glenn-county-ca,CA,Glenn County,80.95
humboldt-county-ca,CA,Humboldt County,78.19999999999997
imperial-county-ca,CA,Imperial County,80.02413793103447
inyo-county-ca,CA,Inyo County,80.76666666666667
kern-county-ca,CA,Kern County,76.83134328358211
kings-county-ca,CA,Kings County,78.425
lake-county-ca,CA,Lake County,74.82142857142857
lassen-county-ca,CA,Lassen County,76.425
los-angeles-county-ca,CA,Los Angeles County,80.56164009111592
madera-county-ca,CA,Madera County,77.90454545454546
marin-county-ca,CA,Marin County,83.38823529411765
mariposa-county-ca,CA,Mariposa County,78.4
mendocino-county-ca,CA,Mendocino County,79.235
merced-county-ca,CA,Merced County,78.28958333333334
modoc-county-ca,CA,Modoc County,79.8
mono-county-ca,CA,Mono County,80.94999999999999
monterey-county-ca,CA,Monterey County,80.84186046511627
napa-county-ca,CA,Napa County,81.33333333333334
nevada-county-ca,CA,Nevada County,80.04736842105261
orange-county-ca,CA,Orange County,81.6575925925925
placer-county-ca,CA,Placer County,80.3185714285714
plumas-county-ca,CA,Plumas County,77.98333333333333
riverside-county-ca,CA,Riverside County,79.0438679245283
sacramento-county-ca,CA,Sacramento County,78.71533333333339
san-benito-county-ca,CA,San Benito County,82.39999999999999
san-bernardino-county-ca,CA,San Bernardino County,78.17443181818186
san-diego-county-ca,CA,San Diego County,80.76333907056798
san-francisco-county-ca,CA,San Francisco County,81.78636363636367
san-joaquin-county-ca,CA,San Joaquin County,77.47028985507248
san-luis-obispo-county-ca,CA,San Luis Obispo County,80.25581395348836
san-mateo-county-ca,CA,San Mateo County,82.73947368421052
santa-barbara-county-ca,CA,Santa Barbara County,81.34375
santa-clara-county-ca,CA,Santa Clara County,82.653125
santa-cruz-county-ca,CA,Santa Cruz County,81.41063829787234
shasta-county-ca,CA,Shasta County,76.77446808510635
sierra-county-ca,CA,Sierra County,84.9
siskiyou-county-ca,CA,Siskiyou County,78.87500000000001
solano-county-ca,CA,Solano County,78.8011235955056
sonoma-county-ca,CA,Sonoma County,80.59052631578949
stanislaus-county-ca,CA,Stanislaus County,77.62197802197798
sutter-county-ca,CA,Sutter County,78.635
tehama-county-ca,CA,Tehama County,77.2909090909091
trinity-county-ca,CA,Trinity County,80.9
tulare-county-ca,CA,Tulare County,77.98831168831167
tuolumne-county-ca,CA,Tuolumne County,79.46666666666665
ventura-county-ca,CA,Ventura County,81.01987577639747
yolo-county-ca,CA,Yolo County,80.6142857142857
yuba-county-ca,CA,Yuba County,75.96923076923078
adams-county-co,CO,Adams County,77.97752808988766
alamosa-county-co,CO,Alamosa County,78.15
arapahoe-county-co,CO,Arapahoe County,79.71190476190473
archuleta-county-co,CO,Archuleta County,82.05
baca-county-co,CO,Baca County,80.0
bent-county-co,CO,Bent County,78.0
boulder-county-co,CO,Boulder County,81.55576923076924
broomfield-county-co,CO,Broomfield County,80.91538461538461
chaffee-county-co,CO,Chaffee County,79.94999999999999
cheyenne-county-co,CO,Cheyenne County,89.5
clear-creek-county-co,CO,Clear Creek County,82.9
conejos-county-co,CO,Conejos County,82.25
costilla-county-co,CO,Costilla County,79.5
crowley-county-co,CO,Crowley County,76.4
custer-county-co,CO,Custer County,82.7
delta-county-co,CO,Delta County,78.88571428571429
denver-county-co,CO,Denver County,78.5230769230769
dolores-county-co,CO,Dolores County,76.8
douglas-county-co,CO,Douglas County,82.07647058823527
eagle-county-co,CO,Eagle County,82.4
el-paso-county-co,CO,El Paso County,79.04196428571429
elbert-county-co,CO,Elbert County,80.51428571428572
fremont-county-co,CO,Fremont County,76.13636363636364
garfield-county-co,CO,Garfield County,81.27
gilpin-county-co,CO,Gilpin County,81.8
grand-county-co,CO,Grand County,80.53333333333335
gunnison-county-co,CO,Gunnison County,80.66666666666667
hinsdale-county-co,CO,Hinsdale County,81.4
huerfano-county-co,CO,Huerfano County,81.4
jackson-county-co,CO,Jackson County,78.7
jefferson-county-co,CO,Jefferson County,79.94049586776863
kiowa-county-co,CO,Kiowa County,78.2
kit-carson-county-co,CO,Kit Carson County,80.03333333333335
la-plata-county-co,CO,La Plata County,81.72
lake-county-co,CO,Lake County,78.6
larimer-county-co,CO,Larimer County,80.54590163934425
las-animas-county-co,CO,Las Animas County,78.61666666666666
lincoln-county-co,CO,Lincoln County,80.8
logan-county-co,CO,Logan County,78.18333333333334
mesa-county-co,CO,Mesa County,78.41851851851851
moffat-county-co,CO,Moffat County,77.92500000000001
montezuma-county-co,CO,Montezuma County,80.82857142857144
montrose-county-co,CO,Montrose County,79.38
morgan-county-co,CO,Morgan County,79.7125
otero-county-co,CO,Otero County,76.94285714285715
ouray-county-co,CO,Ouray County,83.2
park-county-co,CO,Park County,80.45
phillips-county-co,CO,Phillips County,80.1
pitkin-county-co,CO,Pitkin County,82.425
prowers-county-co,CO,Prowers County,78.85999999999999
pueblo-county-co,CO,Pueblo County,76.36078431372549
rio-blanco-county-co,CO,Rio Blanco County,78.95
rio-grande-county-co,CO,Rio Grande County,78.93333333333332
routt-county-co,CO,Routt County,81.7625
saguache-county-co,CO,Saguache County,82.6
san-miguel-county-co,CO,San Miguel County,80.4
sedgwick-county-co,CO,Sedgwick County,76.1
summit-county-co,CO,Summit County,82.05000000000001
teller-county-co,CO,Teller County,80.38
washington-county-co,CO,Washington County,80.15
weld-county-co,CO,Weld County,79.29666666666665
yuma-county-co,CO,Yuma County,79.65
fairfield-county-ct,CT,Fairfield County,81.4990147783251
hartford-county-ct,CT,Hartford County,79.47914691943129
litchfield-county-ct,CT,Litchfield County,80.0891304347826
middlesex-county-ct,CT,Middlesex County,80.74117647058824
new-haven-county-ct,CT,New Haven County,79.28777777777778
new-london-county-ct,CT,New London County,79.57903225806453
tolland-county-ct,CT,Tolland County,81.025
windham-county-ct,CT,Windham County,79.36521739130434
district-of-columbia-dc,DC,District of Columbia,76.40787878787886
kent-county-de,DE,Kent County,76.8
new-castle-county-de,DE,New Castle County,77.77073170731705
sussex-county-de,DE,Sussex County,78.48260869565217
alachua-county-fl,FL,Alachua County,77.9452380952381
baker-county-fl,FL,Baker County,75.95
bay-county-fl,FL,Bay County,75.825641025641
bradford-county-fl,FL,Bradford County,76.2
brevard-county-fl,FL,Brevard County,77.31481481481484
broward-county-fl,FL,Broward County,79.3005970149254
calhoun-county-fl,FL,Calhoun County,77.66666666666667
charlotte-county-fl,FL,Charlotte County,78.725
citrus-county-fl,FL,Citrus County,75.06296296296297
clay-county-fl,FL,Clay County,77.18620689655172
collier-county-fl,FL,Collier County,81.59152542372883
columbia-county-fl,FL,Columbia County,74.75454545454546
desoto-county-fl,FL,DeSoto County,77.97777777777779
dixie-county-fl,FL,Dixie County,76.39999999999999
duval-county-fl,FL,Duval County,75.76826347305389
escambia-county-fl,FL,Escambia County,75.15373134328361
flagler-county-fl,FL,Flagler County,79.00526315789475
franklin-county-fl,FL,Franklin County,75.375
gadsden-county-fl,FL,Gadsden County,75.62222222222222
gilchrist-county-fl,FL,Gilchrist County,77.36000000000001
glades-county-fl,FL,Glades County,74.55
gulf-county-fl,FL,Gulf County,76.5
hamilton-county-fl,FL,Hamilton County,75.10000000000001
hardee-county-fl,FL,Hardee County,79.53333333333335
hendry-county-fl,FL,Hendry County,78.31666666666668
hernando-county-fl,FL,Hernando County,76.17499999999998
highlands-county-fl,FL,Highlands County,77.42608695652174
